S.No.,Tag_Name,Task_Instruction,Objects_needed,start_frame_number,end_frame_number
1,push-block-forward,"push the block forward",1 small block,,
2,push-block-left,"push the block to the left",1 small block,,
3,push-block-right,"push the block to the right",1 small block,,
4,pick-up-block,"pick up the block",1 small block,,
5,pick-up-put-down-block,"pick up the block and put it down",1 small block,,
6,pick-up-pen,"pick up the pen",1 pen/marker,,
7,pick-up-eraser,"pick up the eraser",1 eraser,,
8,pick-up-bottle-cap,"pick up the bottle cap",1 bottle cap,,
9,pick-up-coin,"pick up the coin",1 large coin,,
10,pick-up-ball,"pick up the ball",1 small soft ball,,
11,place-block-on-plate,"place the block on the plate",block + small plate,,
12,place-block-in-cup,"place the block in the cup",block + cup/mug,,
13,place-block-in-box,"place the block in the box",block + small box,,
14,place-pen-on-plate,"place the pen on the plate",pen + plate,,
15,move-block-left-to-right,"move the block from left to right",1 block,,
16,move-block-right-to-left,"move the block from right to left",1 block,,
17,put-eraser-in-box,"put the eraser in the box",eraser + box,,
18,put-cap-on-plate,"put the bottle cap on the plate",cap + plate,,
19,put-ball-in-cup,"put the ball in the cup",ball + cup,,
20,put-coin-in-box,"put the coin in the box",coin + box,,
21,pick-red-block,"pick up the red block",red block + 1 other color block,,
22,pick-blue-block,"pick up the blue block",blue block + 1 other color block,,
23,pick-yellow-block,"pick up the yellow block",yellow + another block,,
24,put-red-block-in-box,"put the red block in the box",red block + distractor + box,,
25,put-blue-block-on-plate,"put the blue block on the plate",blue block + distractor + plate,,
26,pick-small-block,"pick up the small block",1 small + 1 large block,,
27,pick-large-block,"pick up the large block",1 large + 1 small block,,
28,pick-marker,"pick up the marker",marker + pen (distractor),,
29,pick-spoon,"pick up the spoon",spoon + fork (distractor),,
30,pick-key,"pick up the key",key + other small item,,
31,stack-block,"stack the block on top of the other block",2 blocks,,
32,stack-red-on-blue,"stack the red block on the blue block",red + blue blocks,,
33,move-block-to-box-return,"move the block to the box then return home",block + box,,
34,flip-block,"pick up the block and flip it over",1 block,,
35,slide-plate-left,"slide the plate to the left",1 plate,,
36,push-cup-forward,"push the cup forward",1 lightweight cup,,
37,place-pen-on-book,"pick up the pen and place it on the book",pen + book,,
38,sort-red-left,"sort the red block to the left box",red block + box on left,,
39,sort-blue-right,"sort the blue block to the right box",blue block + box on right,,
40,put-all-blocks-in-box,"put all blocks in the box",2 blocks + box,,
41,pick-clothespin,"pick up the clothespin",1 clothespin,,
42,pick-usb-cable,"pick up the USB cable",1 USB cable,,
43,pick-sponge,"pick up the sponge",1 small sponge,,
44,place-coin-on-block,"place the coin on the block",coin + block,,
45,pick-tape-roll,"pick up the tape roll",1 small tape roll,,
46,move-cup-to-plate,"move the cup to the plate",cup + plate,,
47,pick-screw,"pick up the screw",1 large screw/bolt,,
48,place-pen-in-cup,"place the pen in the cup",pen + cup,,
49,put-clip-in-box,"pick up the clip and put it in the box",binder clip + box,,
50,sweep-crumbs,"sweep the crumbs off the plate",plate with small debris,,
